,unit,entry_date,entry_price,exit_date,exit_price,profit,instru
0,8000,19761214,692.5,19770111,685.35,-57200.0,1
1,13000,19770211,691.7,19801222,1018.3,4245800.0,1
2,3500,19801224,1032.8,19801230,1006.8,-91000.0,1
3,2750,19820913,772.55,19821005,716.25,-154825.0,1
4,3250,19821013,768.75,19821111,724.65,-143325.0,1
5,5500,19821206,768.65,19830316,731.9,-202125.0,1
6,18500,19820908,123.07499999999999,19840221,150.375,505050.0,0
7,23750,19840821,158.325,19841206,148.55,-232156.25,0
8,27250,19850117,156.3,19850920,157.025,19756.25,0
9,10500,19860123,591.85,19860214,568.1,-249375.0,1
10,12500,19860314,586.3499999999999,19860402,570.4,-199375.0,1
11,21000,19860723,581.95,19860724,578.95,-63000.0,1
12,34000,19851031,162.77499999999998,19871023,194.35,1073550.0,0
13,16750,19860729,584.4,19880210,637.05,881887.5,1
14,16750,19880629,228.95,19880722,218.65,-172525.0,0
15,22250,19881010,231.975,19881121,216.175,-351550.0,0
16,22500,19881208,229.27499999999998,19900214,262.54999999999995,748687.5,0
17,13000,19891211,574.1,19900308,551.1,-299000.0,1
18,16250,19900312,269.20000000000005,19900430,255.625,-220593.75,0
19,18000,19900510,272.67499999999995,19900814,260.79999999999995,-213750.0,0
20,10750,19900827,546.6,19900828,526.85,-212312.5,1
21,18500,19930504,466.35,19930916,458.15,-151700.0,1
22,0,19900510,272.67499999999995,19940408,345.925,0.0,0
23,18000,19940614,359.125,19940624,341.55,-316350.0,0
24,14000,19931020,479.95,19940811,475.5,-62300.0,1
25,23750,19940830,485.25,19941110,478.29999999999995,-165062.5,1
26,18250,19940812,356.95,19941128,346.45000000000005,-191625.0,0
27,17750,19950418,483.5,19950510,469.70000000000005,-244950.0,1
28,25000,19960115,475.05,19960411,471.05,-100000.0,1
29,15000,19950117,363.1,19980911,753.3499999999999,5853750.0,0
30,10000,19991006,372.25,19991214,323.70000000000005,-485500.0,1
31,16500,20000208,344.15,20000321,324.0,-332475.0,1
32,4000,19981027,864.4,20001009,1058.85,777800.0,0
33,23750,20010919,314.45000000000005,20011116,296.7,-421562.5,1
34,8750,20030605,578.85,20050722,821.1,2119687.5,0
35,36250,20020114,309.7,20050927,466.2,5673125.0,1
