,date,price,note,instru
0,19761214,692.5,Entry,1
1,19770111,685.35,Exit,1
2,19770211,691.7,Entry,1
3,19801222,1018.3,Exit,1
4,19801224,1032.8,Entry,1
5,19801230,1006.8,Exit,1
6,19820908,123.07499999999999,Entry,0
7,19820913,772.55,Entry,1
8,19821005,716.25,Exit,1
9,19821013,768.75,Entry,1
10,19821111,724.65,Exit,1
11,19821206,768.65,Entry,1
12,19830316,731.9,Exit,1
13,19840221,150.375,Exit,0
14,19840821,158.325,Entry,0
15,19841206,148.55,Exit,0
16,19850117,156.3,Entry,0
17,19850920,157.025,Exit,0
18,19851031,162.77499999999998,Entry,0
19,19860123,591.85,Entry,1
20,19860214,568.1,Exit,1
21,19860314,586.3499999999999,Entry,1
22,19860402,570.4,Exit,1
23,19860723,581.95,Entry,1
24,19860724,578.95,Exit,1
25,19860729,584.4,Entry,1
26,19871023,194.35,Exit,0
27,19880210,637.05,Exit,1
28,19880629,228.95,Entry,0
29,19880722,218.65,Exit,0
30,19881010,231.975,Entry,0
31,19881121,216.175,Exit,0
32,19881208,229.27499999999998,Entry,0
33,19891211,574.1,Entry,1
34,19900214,262.54999999999995,Exit,0
35,19900308,551.1,Exit,1
36,19900312,269.20000000000005,Entry,0
37,19900430,255.625,Exit,0
38,19900510,272.67499999999995,Entry,0
39,19900814,260.79999999999995,Exit,0
40,19900827,546.6,Entry,1
41,19900828,526.85,Exit,1
42,19930504,466.35,Entry,1
43,19930916,458.15,Exit,1
44,19931020,479.95,Entry,1
45,19940408,345.925,Exit,0
46,19940614,359.125,Entry,0
47,19940624,341.55,Exit,0
48,19940811,475.5,Exit,1
49,19940812,356.95,Entry,0
50,19940830,485.25,Entry,1
51,19941110,478.29999999999995,Exit,1
52,19941128,346.45000000000005,Exit,0
53,19950117,363.1,Entry,0
54,19950418,483.5,Entry,1
55,19950510,469.70000000000005,Exit,1
56,19960115,475.05,Entry,1
57,19960411,471.05,Exit,1
58,19980911,753.3499999999999,Exit,0
59,19981027,864.4,Entry,0
60,19991006,372.25,Entry,1
61,19991214,323.70000000000005,Exit,1
62,20000208,344.15,Entry,1
63,20000321,324.0,Exit,1
64,20001009,1058.85,Exit,0
65,20010919,314.45000000000005,Entry,1
66,20011116,296.7,Exit,1
67,20020114,309.7,Entry,1
68,20030605,578.85,Entry,0
69,20050722,821.1,Exit,0
70,20050927,466.2,Exit,1
